,DISC,SOCHUM,SPD,LEGAL,WHO,UNEP,IMF,FAO,UNODC,UNHCR (Refugees),UNHRC (Human Rights),AU,NATO,OAS,SC,PRESS,HSC,ICJ,CRISIS,
South Africa,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,
Spain,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,
Sri Lanka,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Sudan,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,
Suriname,X,X,X,X,,,,,,,,,,X,,,,,,
Swaziland,X,X,X,X,,,,,,,,X,,,,,,,,
Sweden,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,
Switzerland,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
Syria,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Tajikistan,X,X,X,X,,,,,,,,,,,,,,,,
Tanzania,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,
Thailand,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
Timor-Leste,X,X,X,X,,,,,,,,,,,,,,,,
Togo,X,X,X,X,X,X,X,X,X,,,X,,,,,,,,
Tonga,X,X,X,X,,,,,,,,,,,,,,,,
Trinidad and Tobago,X,X,X,X,,,,,,,,,,X,,,,,,
Tunisia,X,X,X,X,,,,,,X,,X,,,,,,,,
Turkey,X,X,X,X,X,X,X,X,X,X,,,X,,,,,,,
Turkmenistan,X,X,X,X,,,,,,,,,,,,,,,,
Tuvalu,X,X,X,X,,,,,,,,,,,,,,,,
Uganda,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Ukraine,X,X,X,X,,,,,,,X,,,,,,,,,
United Arab Emirates,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
United Kingdom,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,
United States,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,
Uruguay,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,,
Uzbekistan,X,X,X,X,,,,,,,,,,,,,,,,
Vanuatu,X,X,X,X,,,,,,,,,,,,,,,,
Venezuela,X,X,X,X,X,X,X,X,X,X,,,,X,,,,,,
Vietnam,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Yemen,X,X,X,X,,,,,,X,,,,,,,,,,
Zambia,X,X,X,X,,,,,,X,X,X,,,,,,,,
Zimbabwe,X,X,X,X,,,,,,,,X,,,,,,,,
